original_index,track_id,song_name,artist,genre,chorus_ratio,syllable_density,sentiment_score,flesch_kincaid_readability,lsa_component_1,lsa_component_2,lsa_component_3
17623,Pop_00001,A Child Is Born,Rihanna,Pop,0.7317,1.5128,0.0,0.0,0.0,0.0,0.0
17624,Pop_00002,A Girl Like Me,Rihanna,Pop,0.6486,1.4011,0.0,0.0,0.0,0.0,0.0
17626,Pop_00003,American Oxygen,Rihanna,Pop,0.8143,2.3154,0.0,0.0,0.0,0.0,0.0
17627,Pop_00004,California King Bed,Rihanna,Pop,0.4894,1.6294,0.0,0.0,0.0,0.0,0.0
17628,Pop_00005,Cold Case Love,Rihanna,Pop,0.5424,1.4702,0.0,0.0,0.0,0.0,0.0
17629,Pop_00006,Crazy Little Thing Called Love,Rihanna,Pop,0.1509,1.5355,0.0,0.0,0.0,0.0,0.0
17630,Pop_00007,Cry,Rihanna,Pop,0.4906,1.4611,0.0,0.0,0.0,0.0,0.0
17631,Pop_00008,Dem Haters,Rihanna,Pop,0.0968,1.3678,0.0,0.0,0.0,0.0,0.0
17632,Pop_00009,Disturbia,Rihanna,Pop,0.5588,1.406,0.0,0.0,0.0,0.0,0.0
17633,Pop_00010,Do Ya Thing,Rihanna,Pop,0.5119,1.2242,0.0,0.0,0.0,0.0,0.0
17634,Pop_00011,Don't Even Try,Rihanna,Pop,0.4694,1.2588,0.0,0.0,0.0,0.0,0.0
17635,Pop_00012,Don't Stop The Music,Rihanna,Pop,0.6809,1.5728,0.0,0.0,0.0,0.0,0.0
17636,Pop_00013,Drunk On Love,Rihanna,Pop,0.6327,1.3481,0.0,0.0,0.0,0.0,0.0
17637,Pop_00014,Electricity,Rihanna,Pop,0.5789,1.6138,0.0,0.0,0.0,0.0,0.0
17638,Pop_00015,Emergency Room,Rihanna,Pop,0.5862,1.4555,0.0,0.0,0.0,0.0,0.0
17639,Pop_00016,Fading,Rihanna,Pop,0.5116,1.5864,0.0,0.0,0.0,0.0,0.0
17640,Pop_00017,Farewell,Rihanna,Pop,0.6304,1.5975,0.0,0.0,0.0,0.0,0.0
17641,Pop_00018,Final Goodbye,Rihanna,Pop,0.1364,1.4658,0.0,0.0,0.0,0.0,0.0
17642,Pop_00019,Fire Bomb,Rihanna,Pop,0.4524,1.3523,0.0,0.0,0.0,0.0,0.0
17643,Pop_00020,First Place,Rihanna,Pop,0.6562,1.345,0.0,0.0,0.0,0.0,0.0
17644,Pop_00021,Fool In Love,Rihanna,Pop,0.4,1.3426,0.0,0.0,0.0,0.0,0.0
17645,Pop_00022,Four Evermore,Rihanna,Pop,0.5333,1.8929,0.0,0.0,0.0,0.0,0.0
17646,Pop_00023,FourFiveSeconds,Rihanna,Pop,0.4038,1.5535,0.0,0.0,0.0,0.0,0.0
17647,Pop_00024,Fresh Off The Runway,Rihanna,Pop,0.4308,1.3977,0.0,0.0,0.0,0.0,0.0
17648,Pop_00025,G4L,Rihanna,Pop,0.4098,1.2857,0.0,0.0,0.0,0.0,0.0
17649,Pop_00026,Game Over,Rihanna,Pop,0.2909,1.3681,0.0,0.0,0.0,0.0,0.0
17650,Pop_00027,Hatin' On The Club,Rihanna,Pop,0.6735,1.1911,0.0,0.0,0.0,0.0,0.0
17651,Pop_00028,Haunted,Rihanna,Pop,0.5385,1.5251,0.0,0.0,0.0,0.0,0.0
17652,Pop_00029,Here I Go Again,Rihanna,Pop,0.3333,1.4724,0.0,0.0,0.0,0.0,0.0
17653,Pop_00030,Leaving Tonight,Rihanna,Pop,0.3721,1.4519,0.0,0.0,0.0,0.0,0.0
17654,Pop_00031,Livin' A Lie,Rihanna,Pop,0.4545,1.7412,0.0,0.0,0.0,0.0,0.0
17655,Pop_00032,Love Is The Only Way,Rihanna,Pop,0.1702,1.5766,0.0,0.0,0.0,0.0,0.0
17656,Pop_00033,Love Song,Rihanna,Pop,0.4727,1.5023,0.0,0.0,0.0,0.0,0.0
17657,Pop_00034,Love The Way You Lie Part 2,Rihanna,Pop,0.2462,1.3926,0.0,0.0,0.0,0.0,0.0
17658,Pop_00035,Love The Way You Lie Remix,Rihanna,Pop,0.3182,1.2828,0.0,0.0,0.0,0.0,0.0
17659,Pop_00036,Mad House,Rihanna,Pop,0.5455,1.5306,0.0,0.0,0.0,0.0,0.0
17660,Pop_00037,Man Down,Rihanna,Pop,0.5429,1.3366,0.0,0.0,0.0,0.0,0.0
