original_index,track_id,song_name,artist,genre,chorus_ratio,syllable_density,sentiment_score,flesch_kincaid_readability,lsa_component_1,lsa_component_2,lsa_component_3,lsa_component_4,lsa_component_5,lsa_component_6,lsa_component_7,lsa_component_8,lsa_component_9,lsa_component_10
17623,Pop_00001,A Child Is Born,Rihanna,Pop,0.7317,1.6751,0.9985,-213.0158520900321,0.18162017881227208,-0.032062085027508486,0.07483038993796118,-0.05201748505871564,0.024681300649591197,0.013611219136195833,-0.10825343592956368,-0.05080702081109752,0.01675751165234612,-0.05950401686057284
17624,Pop_00002,A Girl Like Me,Rihanna,Pop,0.6486,1.4463,0.9976,-288.0691603053435,0.2891246439594075,-0.10088380293463074,-0.05416354240244239,0.023069659718890745,0.026755877723550172,0.02894419676775999,0.02526086969958984,-0.029579170951373537,0.2428009139695107,0.1484297574947625
17626,Pop_00003,American Oxygen,Rihanna,Pop,0.8143,2.3005,0.9195,-215.42180505415158,0.044863735810171994,-0.012872398934827396,0.002694389738329959,-0.02156130006505425,-0.003934928287353677,-0.0005807773320168551,0.0011498268474822524,-0.015095099973247405,0.007276154441594397,-0.0029470861898114363
17627,Pop_00004,California King Bed,Rihanna,Pop,0.4894,1.6163,0.793,-159.39499999999995,0.10179895328543082,-0.005987994852396912,-0.027121908140078418,-0.045863658251797536,-0.010746672731004148,0.010495189881464969,-0.031750517013501546,-0.015326285416456963,-0.01331314524784297,0.020779735045125848
17628,Pop_00005,Cold Case Love,Rihanna,Pop,0.5424,1.4672,0.9987,-253.1869553072625,0.2098199964903475,0.18469410824917878,-0.08902012789362738,0.051319444310545484,-0.09280927947132588,-0.019127373462267453,0.00048132033496703727,-0.0034253816189059438,0.0016100029627121103,-0.02570486496806187
17629,Pop_00006,Crazy Little Thing Called Love,Rihanna,Pop,0.1509,1.5616,0.9915,-205.38899999999995,0.3301311002837265,0.03907325494916436,0.0497596586181481,0.12557639507064938,0.08420597017162001,0.005513223390985218,-0.11895566924953535,0.04095016804374415,0.0787009507670941,-0.04279366939161788
17630,Pop_00007,Cry,Rihanna,Pop,0.4906,1.4969,-0.9909,-15.665976058931847,0.3571528870356069,0.0369408084878599,-0.0972724930101633,-0.1279561376853225,0.008782236613580146,0.008120092256452226,-0.01988191880045981,-0.0424031662526396,0.023294621610044988,0.07889131473680583
17631,Pop_00008,Dem Haters,Rihanna,Pop,0.0968,1.4353,-0.9419,-90.60324873096444,0.2473159222264915,-0.11389010935048569,-0.04205726659789345,0.06198016268705955,-0.016614407531362698,-0.026937598409727283,0.15202739201626153,-0.011037619878647851,-0.05632202707132592,0.053680887492904124
17632,Pop_00009,Disturbia,Rihanna,Pop,0.5588,1.5927,-0.7672,-248.74443181818177,0.024612316637920392,-0.01266226830039913,0.0030231753316890516,-0.0050787298774636795,-0.008580477080526592,-0.0018706571554249476,0.0030529410150546056,-0.0042116978994286005,-1.779206625241174e-05,-0.006991914528370735
17633,Pop_00010,Do Ya Thing,Rihanna,Pop,0.5119,1.2212,0.9996,36.51583439086295,0.2049184814471045,-0.02885248525473838,-0.053440092779798005,0.1765731368483239,-0.07507311097700242,-0.038230116287295404,0.02852499645065283,-0.03486719857834047,-0.0494552926213306,0.05223676641797796
17634,Pop_00011,Don't Even Try,Rihanna,Pop,0.4694,1.3316,0.9922,-164.7764835164835,0.350084851764991,-0.06453193711130814,-0.07904165609182418,-0.07787058820453023,0.14998263299446293,-0.0008209143055723713,0.1762257593813801,0.07802664643627924,-0.06666361806041167,-0.061196642524335425
17635,Pop_00012,Don't Stop The Music,Rihanna,Pop,0.6809,1.6008,0.9982,11.335697674418626,0.15182235472995945,-0.05716926336821184,-0.02224814203815917,0.001047078397788566,0.06102823612848157,0.0029658733159079547,0.08105047430748866,0.04027739527901432,-0.015489138811651827,-0.05415850913597622
17636,Pop_00013,Drunk On Love,Rihanna,Pop,0.6327,1.3738,0.9949,-147.9354940711462,0.2200732971923854,0.2298455397490156,-0.043833295787624287,0.09927088621185154,-0.07576673285705712,-0.027176213507936288,2.1614250317728093e-05,0.07721283582597245,-0.008740951353959976,-0.02140505023514399
17637,Pop_00014,Electricity,Rihanna,Pop,0.5789,2.0563,0.9869,45.12399316508939,0.1316782926538454,-0.00014368209910174475,0.08479290343190488,-0.005562489676469881,0.06789775211271193,0.01026510572627499,0.02632908188116871,0.004412498734309212,0.014418930645585694,-0.04246482120768015
17638,Pop_00015,Emergency Room,Rihanna,Pop,0.5862,1.5075,-0.9945,44.777646209386305,0.1652240765248184,-0.06371881739784716,-0.014375555833617548,-0.02527602259262213,0.01995009283235192,-0.004000793805120363,-0.005993732661268287,-0.014339405404871977,0.06743040894930429,0.021412186164071492
17639,Pop_00016,Fading,Rihanna,Pop,0.5116,1.6073,-0.7345,-38.298960674157286,0.15060648569711857,-0.0070633282372020495,-0.05079405415925414,-0.10650823859992577,0.002887074946983286,0.0057656985972931755,-0.020194082701258814,-0.01500267287666223,0.04350170282914912,-0.03759211718293382
17640,Pop_00017,Farewell,Rihanna,Pop,0.6304,1.9432,0.7732,-184.29838709677412,0.17062691341506842,-0.03016047154350701,-0.031342151875651654,-0.06829567906135375,0.044440240980451656,-0.002677943113122455,0.04588357629387455,0.05368295020416158,-0.01093651530821989,0.005011190963068889
17641,Pop_00018,Final Goodbye,Rihanna,Pop,0.1364,1.5598,0.8126,-56.17641509433959,0.26146610776199114,0.06848833243586541,-0.09786582858336518,-0.17612275240789238,-0.009147396747403858,0.010335429842480802,-0.07535261710569917,-0.019246718127135284,-0.0980803894129987,0.07383886225709176
17642,Pop_00019,Fire Bomb,Rihanna,Pop,0.4524,1.3671,-0.9939,-261.2380222841225,0.2720269992961384,-0.019352092469454036,0.4047284000234621,-0.09188523594748564,-0.08711347161325086,-0.06306830724797836,0.1282664281675229,-0.11282140587768608,-0.04625651692941303,0.043780705730957686
17643,Pop_00020,First Place,Rihanna,Pop,0.6562,1.4436,-0.8979,-579.7879295154183,0.2288174587310369,-0.05859058191532316,-0.06876627683724955,-0.05344357239424384,6.661826050418516e-05,0.009088953839464802,-0.006136797380075854,-0.009779597890626119,0.05046914274032672,-0.07422019661918194
17644,Pop_00021,Fool In Love,Rihanna,Pop,0.4,1.3476,0.6801,38.93569182389939,0.21108023349840138,0.06977096673257659,-0.06497815924128926,-0.008714703348278513,-0.01784924487873248,-0.006628952375652852,0.02730214798283597,0.015495133532465103,-0.0013118084336879324,0.03647642450881885
17645,Pop_00022,Four Evermore,Rihanna,Pop,0.5333,1.8056,0.8131,89.13256620428753,0.1029959480547521,-0.052954604053079,-0.03364722855578292,-0.005699980554783616,-0.025272085090641643,0.003124778744211609,0.008630748452542096,-0.009479733758786538,0.01390866670281441,-0.004686825963403676
17646,Pop_00023,FourFiveSeconds,Rihanna,Pop,0.4038,1.7177,0.8504,-210.98564935064928,0.17110909449372427,-0.061236328408691705,-0.023982798924039674,-0.02249842168622479,0.023568884837842592,0.012517951556690778,0.002273419727853071,0.027870342735707147,0.030513574345053533,-0.007756522618247189
17647,Pop_00024,Fresh Off The Runway,Rihanna,Pop,0.4308,1.4625,0.9995,67.63441588785048,0.03582375469123677,-0.030192414210259155,-0.01347825222892948,0.03046223477583398,-0.02041046969064576,-0.004871235873018613,0.008054562980787296,-0.010513187325901964,-0.012013101641858592,0.0037717490843584924
17648,Pop_00025,G4L,Rihanna,Pop,0.4098,1.2866,-0.9753,71.12730886850154,0.25350941706811264,-0.13007631127454336,0.010077325815159703,0.052159520969704234,-0.04578802036906725,-0.021686520733785186,0.013068631543095864,-0.04762941400508553,0.023366337874802127,0.01822641008741708
17649,Pop_00026,Game Over,Rihanna,Pop,0.2909,1.3601,-0.9891,72.55772727272729,0.2557064652236692,-0.0548256759592625,-0.04245073609833667,-0.021718687195142146,0.024564884922892802,-0.0011302018791173895,0.08627198263907392,0.010812442006704849,-0.0033983732294964645,-0.024873576704595265
17650,Pop_00027,Hatin' On The Club,Rihanna,Pop,0.6735,1.2031,0.9986,-50.59276315789472,0.31713667424950087,0.13389118101070457,-0.0029825610477857115,0.13948782778167282,-0.10922581070683765,-0.023205285396021378,-0.02822831021040764,-0.09962990996584874,0.11121146336345414,0.02793379443423155
